team1,team2,predict,result,season
1107,1291,1,1,2014
1301,1462,1,1,2014
1142,1411,1,1,2014
1234,1397,1,0,2014
1163,1386,1,1,2014
1173,1326,0,1,2014
1107,1196,0,0,2014
1153,1217,0,0,2014
1257,1264,1,1,2014
1276,1459,1,1,2014
1174,1277,0,0,2014
1295,1328,1,1,2014
1140,1332,1,0,2014
1160,1338,0,0,2014
1308,1361,0,0,2014
1301,1387,0,0,2014
1393,1444,1,1,2014
1113,1400,0,0,2014
1437,1454,1,1,2014
1110,1458,0,0,2014
1112,1451,1,1,2014
1124,1304,1,1,2014
1166,1418,1,1,2014
1211,1329,1,1,2014
1235,1300,1,1,2014
1184,1242,0,0,2014
1243,1246,0,0,2014
1203,1272,0,0,2014
1181,1273,0,0,2014
1314,1344,1,1,2014
1372,1433,0,1,2014
1307,1390,0,0,2014
1269,1397,0,0,2014
1409,1417,0,0,2014
1157,1438,0,0,2014
1142,1455,0,0,2014
1163,1437,1,1,2014
1173,1393,0,1,2014
1196,1338,1,1,2014
1257,1387,1,1,2014
1276,1400,1,1,2014
1217,1277,0,0,2014
1295,1361,0,0,2014
1332,1458,0,0,2014
1112,1211,1,1,2014
1124,1166,1,1,2014
1235,1314,1,1,2014
1246,1455,1,1,2014
1242,1390,1,0,2014
1273,1397,0,0,2014
1372,1417,0,0,2014
1272,1438,0,0,2014
1112,1361,1,1,2014
1173,1390,1,1,2014
1196,1417,1,1,2014
1124,1458,0,0,2014
1163,1235,1,1,2014
1246,1257,1,1,2014
1276,1397,1,1,2014
1277,1438,1,1,2014
1173,1196,0,0,2014
1112,1458,0,0,2014
1163,1277,1,1,2014
1246,1276,1,1,2014
1163,1196,1,1,2014
1246,1458,1,1,2014
1163,1246,1,1,2014
1214,1264,1,1,2015
1140,1279,1,0,2015
1129,1173,0,0,2015
1316,1352,0,0,2015
1112,1411,1,1,2015
1116,1459,1,1,2015
1139,1400,0,1,2015
1153,1345,1,1,2015
1186,1207,0,0,2015
1124,1209,0,0,2015
1214,1246,0,0,2015
1261,1301,1,0,2015
1217,1314,0,0,2015
1318,1323,0,0,2015
1326,1433,1,1,2015
1235,1412,1,0,2015
1374,1417,0,0,2015
1372,1428,0,0,2015
1248,1437,0,0,2015
1279,1462,0,0,2015
1173,1344,0,1,2015
1181,1352,1,1,2015
1211,1295,1,1,2015
1172,1234,0,0,2015
1242,1308,1,1,2015
1257,1414,1,1,2015
1268,1434,1,1,2015
1208,1277,0,0,2015
1320,1461,1,1,2015
1107,1328,0,0,2015
1329,1332,0,0,2015
1361,1385,1,1,2015
1125,1438,0,0,2015
1138,1452,0,0,2015
1231,1455,0,0,2015
1157,1458,0,0,2015
1112,1326,1,1,2015
1153,1246,0,0,2015
1301,1437,1,1,2015
1116,1314,0,0,2015
1139,1323,0,0,2015
1412,1417,0,0,2015
1207,1428,0,0,2015
1209,1462,0,0,2015
1181,1361,1,1,2015
1211,1234,1,1,2015
1257,1320,1,1,2015
1277,1438,1,1,2015
1173,1328,0,0,2015
1268,1452,1,0,2015
1242,1455,1,0,2015
1332,1458,0,0,2015
1112,1462,1,1,2015
1246,1452,1,1,2015
1323,1455,1,1,2015
1314,1458,0,0,2015
1181,1428,1,1,2015
1211,1417,1,1,2015
1257,1301,1,1,2015
1277,1328,1,1,2015
1246,1323,0,1,2015
1112,1458,0,0,2015
1181,1211,0,1,2015
1257,1277,0,0,2015
1181,1277,1,1,2015
1246,1458,0,0,2015
1181,1458,0,1,2015
1192,1195,0,0,2016
1435,1455,0,0,2016
1221,1380,1,1,2016
1276,1409,1,1,2016
1114,1345,0,1,2016
1139,1403,1,1,2016
1160,1163,0,0,2016
1181,1423,1,1,2016
1211,1371,1,1,2016
1151,1231,0,0,2016
1233,1235,0,0,2016
1122,1242,0,0,2016
1246,1392,1,1,2016
1138,1274,0,0,2016
1195,1314,0,0,2016
1344,1425,1,1,2016
1201,1428,0,0,2016
1214,1438,0,0,2016
1112,1455,0,0,2016
1124,1463,0,0,2016
1143,1218,1,0,2016
1234,1396,1,1,2016
1268,1355,1,1,2016
1277,1292,1,0,2016
1320,1400,1,1,2016
1276,1323,0,0,2016
1167,1328,0,0,2016
1221,1332,0,0,2016
1372,1452,1,1,2016
1153,1386,0,0,2016
1173,1393,0,0,2016
1401,1453,1,1,2016
1333,1433,0,0,2016
1421,1437,0,0,2016
1338,1458,0,0,2016
1451,1462,0,0,2016
1181,1463,1,1,2016
1211,1428,1,1,2016
1231,1246,0,1,2016
1114,1235,0,0,2016
1163,1242,0,0,2016
1274,1455,1,1,2016
1314,1344,1,1,2016
1139,1438,0,0,2016
1218,1268,0,0,2016
1323,1372,1,1,2016
1328,1433,1,1,2016
1332,1386,0,1,2016
1292,1393,0,0,2016
1320,1401,1,0,2016
1234,1437,0,0,2016
1458,1462,1,1,2016
1242,1268,1,1,2016
1328,1401,1,1,2016
1181,1332,1,0,2016
1274,1437,0,0,2016
1231,1314,0,0,2016
1323,1458,1,1,2016
1211,1393,0,0,2016
1235,1438,1,0,2016
1328,1332,1,1,2016
1242,1437,1,0,2016
1314,1323,1,1,2016
1393,1438,1,1,2016
1314,1393,1,1,2016
1328,1437,0,0,2016
1314,1437,1,0,2016
